Entity,Code,Year,Global average temperature anomaly relative to 1861-1890,Lower bound of the annual temperature anomaly (95% confidence interval),Upper bound of the annual temperature anomaly (95% confidence interval)
Southern hemisphere,,1850,-0.055760294,-0.2906541,0.17913352
Southern hemisphere,,1851,0.09631559,-0.14955297,0.34218416
Southern hemisphere,,1852,0.12067008,-0.11611232,0.3574525
Southern hemisphere,,1853,0.048449486,-0.1499064,0.24680534
Southern hemisphere,,1854,-0.064585805,-0.23697147,0.10779989
Southern hemisphere,,1855,-0.004493027,-0.17415795,0.1651719
Southern hemisphere,,1856,0.036599606,-0.13358384,0.20678307
Southern hemisphere,,1857,-0.13929725,-0.30510846,0.026513964
Southern hemisphere,,1858,-0.07516077,-0.24589625,0.09557468
Southern hemisphere,,1859,0.029019356,-0.13821402,0.19625272
Southern hemisphere,,1860,0.022467911,-0.15036228,0.19529809
Southern hemisphere,,1861,-0.1092464,-0.2938268,0.07533395
Southern hemisphere,,1862,-0.027460665,-0.21518353,0.16026218
Southern hemisphere,,1863,-0.04356125,-0.24352327,0.1564008
Southern hemisphere,,1864,-0.12546372,-0.3271617,0.07623428
Southern hemisphere,,1865,0.046106488,-0.15425432,0.2464673
Southern hemisphere,,1866,0.034974933,-0.1750904,0.24504024
Southern hemisphere,,1867,0.034932762,-0.17257085,0.24243636
Southern hemisphere,,1868,-0.0014431169,-0.19462463,0.19173837
Southern hemisphere,,1869,-0.040611118,-0.21551481,0.13429253
Southern hemisphere,,1870,0.000052572228,-0.15307131,0.15317644
Southern hemisphere,,1871,0.047560304,-0.10038838,0.19550897
Southern hemisphere,,1872,0.044704765,-0.107394636,0.19680414
Southern hemisphere,,1873,0.036696732,-0.10709047,0.1804839
Southern hemisphere,,1874,-0.109003454,-0.25257376,0.03456685
Southern hemisphere,,1875,0.076236635,-0.07155073,0.224024
Southern hemisphere,,1876,-0.06948739,-0.22643414,0.087459326
Southern hemisphere,,1877,0.24291082,0.088346034,0.3974756
Southern hemisphere,,1878,0.24992508,0.100822985,0.39902717
Southern hemisphere,,1879,0.07274616,-0.06855485,0.21404718
Southern hemisphere,,1880,0.09609981,-0.044449806,0.23664942
Southern hemisphere,,1881,0.16332506,0.013054849,0.31359527
Southern hemisphere,,1882,0.12568516,-0.010475188,0.2618455
Southern hemisphere,,1883,0.07788083,-0.053157687,0.20891935
Southern hemisphere,,1884,-0.006412505,-0.13707632,0.12425132
Southern hemisphere,,1885,-0.08884436,-0.22626194,0.048573256
Southern hemisphere,,1886,-0.052574724,-0.1837925,0.07864308
Southern hemisphere,,1887,-0.15958628,-0.3013905,-0.017782062
Southern hemisphere,,1888,-0.04254237,-0.16763374,0.082549036
Southern hemisphere,,1889,0.10444102,-0.036943644,0.24582568
Southern hemisphere,,1890,-0.14627793,-0.28673425,-0.0058216145
Southern hemisphere,,1891,-0.046961695,-0.20056835,0.10664493
Southern hemisphere,,1892,-0.09529063,-0.25620607,0.06562477
Southern hemisphere,,1893,-0.08874869,-0.25373068,0.0762333
Southern hemisphere,,1894,-0.18116489,-0.3458114,-0.016518414
Southern hemisphere,,1895,-0.10861626,-0.2639803,0.046747744
Southern hemisphere,,1896,0.06919196,-0.09115645,0.22954036
Southern hemisphere,,1897,0.07572627,-0.08828238,0.23973493
Southern hemisphere,,1898,-0.19737104,-0.35878697,-0.0359551
Southern hemisphere,,1899,-0.03405595,-0.19466892,0.12655704
Southern hemisphere,,1900,0.07270858,-0.095632315,0.24104944
Southern hemisphere,,1901,-0.028147131,-0.19356474,0.13727047
Southern hemisphere,,1902,-0.07427922,-0.23309568,0.08453727
Southern hemisphere,,1903,-0.21774736,-0.37316605,-0.062328637
